text@vu1990m	@vu1990m	920.99	925.09	я как бы гораздо больше слушал Гражданской обороны например / если уж говорить о русских группах / да //
text@vu1990m	@vu1990m	928.795	931.375	ну что теперь / я не знаю / что / что мне теперь делать //
text@vu1990m	@vu1990m	933.8	943.77	не / ну может быть это форма но в любом случае знаешь / ну Цой / он на генетическом уровне замешан в русских людях / мне кажется / знаешь / то есть как бы / есть какой-то ген / Виктора Цоя уже / знаешь / через поколение передающийся / мне кажется //
text@vu1990m	@vu1990m	944.33	977.34	вот / щас вот допустим с новым поколением ген Егора Летова мне кажется / передастся / учитывая сейчас масштабы вот / которые его / эээ / вдруг начали все раздувать / да // это вообще удивительно и поразительно просто // я вот просто как действительно / поклонник этой музыки очень / ну / как / в моих мерках / мое... моего возраста очень давний / да / то есть как бы я / еще застал / как бы / концерты Гражданской обороны / я на них ходил / и / тогда / когда надо... смеялись люди // что типа ты ходишь на это дерьмо? // ты / это как бы / это же / это же / кошмар / это невозможно слушать! // и щас те же самые люди подписывают петиции / чтобы аэропорт назвали в его честь и говорят какой он был непризнанный гений // понимаешь / ну это смешно //
text@vu1990m	@vu1990m	977.97	986.26	вот / то есть как бы вот это вот понятие что типа вот эти мертвые герои / короче / вдруг / почему-то всем становятся важны / и как бы / если пишут на Лентаче / значит / он кл... классный / да //
text@vu1990m	@vu1990m	987.02	1004.36	ну // да / дети которые сейчас вот // эээ // почему-то вдруг все полюбили Гражданскую оборону / я не думаю / что / ээ / они в принципе знают / кто это такой вообще / и / с чем связана была его вот / деятельность там и так далее / то есть / да / то есть / ну / это / это наглядный пример / это исполнение Гречки "Все идет по плану" / да / на этом трибьюте / ну это смешно //
text@vu1990m	@vu1990m	1005.48	1015.02	во-первых она вырезала два куплета оттуда / она подумала что / они не имеют смысла или что смысл не изменится если это вырезать // ну это смешно // вот / то что сейчас происходит с его фигурой как бы //
text@vu1990m	@vu1990m	1020.401	1023.587	могут конечно / почему // нет / я не говорю обо всех / я не обобщаю ни в коем случае //
text@vu1990m	@vu1990m	1024.185	1057.732	я говорю что это в принципе / э / искусственно раздутый мыльный пузырь который просто типа держится не / не понятно на чем / да ни на чем не держится на самом деле // он лопнет и все / это / как бы / как / это / щас все по таким / ну не все конечно как бы / но щас почти все происходит по таким / каким-то / эээ / знаешь / стандартам скажем так да / то есть оно раздувается-раздувается-раздувается / оно задевает так или иначе всех // все начинают короче как-то это все форсить // потом оно лопается / и надувается следующее // и все / а то что лопнуло оно как бы на тысячи брызгов короче разделилось и все и никто этого уже не помнит оно не осталось как-то не увековечивается никак //
text@vu1990m	@vu1990m	1058.464	1059.842	то есть / эээ / допустим там //
text@vu1990m	@vu1990m	1060.825	1080.021	все вот эти какие-то оппозиционные штуки да которые щас вспышками ярости там / вы... выпляскиваю... выплескивают народ на улицы да // через полгода э... этот же народ он абсолютно не помнит за что он выходил полгода назад понимаешь / то есть как бы это / я не говорю я не против этого / в принципе это // эээ / логично и понятно почему это все происходит //
text@vu1990m	@vu1990m	1081.096	1081.596	но //
